exchangeAddress,exchangeName
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex_5
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex_4
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex_3
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex_1
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi_6
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken_1
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken_2
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken_3
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken_4 
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance_5 
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance_4 
0x564286362092D8e7936f0549571a803B203aAceD,Binance_3
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance_2
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance_1
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,Okex_1
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini_1
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io_3
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io_1 
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex_1 
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15
0x2c8fbb630289363ac80705a1a61273f76fd5a161,OKEx 4
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,Huobi 36
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18
0x34ea4138580435b5a521e460035edb19df1938c1,Binance US 2
0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,MetaMask: DS Proxy
0xa40dfee99e1c85dc97fdc594b16a460717838703,Kraken: Eth2 Depositor
0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,Binance Pool
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5
0xf9fb1c508ff49f78b60d3a96dea99fa5d7f3a8a6,Harmony: ETH Bridge
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4
0x519b70055af55a007110b4ff99b0ea33071c720a,DXdao
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,CryptoPunks: Ͼ Token
0x686e5ac50d9236a9b7406791256e47feddb26aba,Metronome: Autonomous Converter
0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone
